
４４ say:  ４４
４４ say:  ４４４４４４４４４４
りか say:  こんにちは
りか say:  はい
りか say:  はい
りか say:  そうですか
りか say:  うそうじゃありませんよ
なに say:  こんなに
なに say:  かかるとはおもえません
なに say:  gzipをつかています
ff say:  ffffffffffffff
ff say:  dddddddddddd
d say:  ddddddddd
d say:  dddddddddddd
ff say:  ddddddddddddd
dd say:  ee
dd say:  thank 
dd say:  very much for tell me that
dd say:  i am very appriaciated of 
dd say:  that
dd say:   thank you veru juch
44 say:  444
44 say:  gsagsadg
44 say:  你干什么
44 say:  不要来
44 say:  好好的
44 say:  行不行
44 say:  来不来点
