汉字,词义
ああ,啊
愛,慈爱
藍,蓝色
相容れない,不一致
相打つ，相搏つ,搏斗
愛煙家,喜欢吸烟的人
哀歌,哀歌
合鍵,配制的钥匙
相方,对方
相変わらず,照旧
哀願,哀求
愛玩,玩赏
愛嬌,和蔼
愛犬,爱犬
愛顧,爱顾
愛護,爱护
愛好,爱好
愛国,爱国
合言葉,暗语
愛妻,爱妻
挨拶,点头
愛児,爱子
哀愁,哀愁
愛称,爱称
相性,男女
愛情,热情
愛人,情人
合図,暗号
愛する,疼爱
愛惜,爱惜
愛想,和蔼
間,间隔
間柄,关系
哀調,悲调
相次ぐ，相継ぐ,相继发生
相槌,随声附和
相手,伙伴
哀悼,哀悼
愛読,爱读
生憎,不凑巧
愛撫,爱抚
愛慕,爱慕
曖昧,含糊
相俟って,相结合
愛用,爱用
愛欲,爱欲
会う,会面
逢う,偶然碰见
合う,一致
遭う，遇う,遇到
喘ぐ,喘息
敢えて,强行
和える,拌食品
亜鉛,锌
青い,青色
葵,葵
蒼い,脸色不好
仰ぐ,仰视
扇ぐ,扇风
煽ぐ,煽动
青臭い,有青草味
青写真,设计图
青白い，蒼白い,脸色苍白
青信号,绿灯
青空,碧空
青田,青苗地
青田刈り,割青苗
青菜,青草
青二才,毛孩子
仰向く,仰面
煽り,冲击
煽る,煽动
垢,污垢
赤,红色
赤い,红色的
足掻く,刨地
赤字,红笔字
赤信号,红灯
飽かす,令人厌腻
明かす,过夜
赤ちゃん,婴儿
暁,黎明
明かり,光线
上がる,上
揚がる,炸好
明るい,明亮的
空き,空闲
秋,秋天
飽き，厭き,厌
空き巣,空窝
商う,经商
明らか,明亮
諦める,放弃
飽きる,厌烦
呆れる,吃惊
開く，明く,开
空く,有空隙
悪,坏
悪意,恶意
悪質,恶劣
握手,握手
悪臭,恶臭
悪習,恶习
悪循環,恶性循环
悪性,恶性
あぐねる,厌
欠伸,哈欠
あくまで,到底
悪名,名声不好
悪用,滥用
明くる,下
明け方,黎明
揚げ句,日本的连歌或俳句的最后一句
開ける,打开
明ける,天明
空ける,空出
挙げる,举
上げる,举起
揚げる,举起
顎,下巴
憧れる,向往
朝,早上
麻,麻
痣,痣
浅い,浅
嘲る,愚弄
明後日,后天
朝寝坊,早上睡懒觉
朝晩,早晚
朝日,朝日
浅ましい,悲惨
欺く,欺骗
鮮やか,鲜明
足,脚
葦,芦苇
味,味道
足跡,脚印
足音,脚步声
足掛かり,脚手架
味気ない,乏味的
明日,明天
足手まとい,累赘
足取り,脚步
足並み,步伐
足場,脚手架
足踏み,原地踏步
足元,立脚点
あしらう,招待
味わう,品尝
明日,明天
預かる,收存
与る,参与
預ける,寄存
汗,汗
汗ばむ,出汗
汗疹,痱子
焦る,着急
褪せる,褪色
あそこ,那里
遊ばす,让……玩
遊ぶ,玩耍
仇,仇人
徒,徒然
価,价格
値,数学值
与える,授予
あたかも,宛如
暖かい，温かい,温暖
暖まる，温まる,变热
暖める，温める,加热
渾名，綽名,小名
頭,头
頭金,定金
新しい,新的
辺り,周围
当たり前,当然
当たる,晒没必要
あちこち,到处
あちら,那边
熱い,温度高
暑い,气温高
厚い,有厚度
篤い,病重
悪化,变坏
扱う,操作
厚かましい,无耻
呆気ない,过于简单
あっさり,清淡
圧縮,加压
斡旋,斡旋
あっという間に,转眼功夫
圧倒,压倒
圧迫,压迫感
集まる,集合
集める,使集合
誂える,定做
圧力,压力
当て,目的
当てつける,指桑骂槐
宛て名,收信人姓名和地址
当てはまる,适用
当てはめる,适用
当てる,碰撞
充てる,充当
後,后面
跡,痕迹
後味,余味
後先,先后
後始末,善后处理
跡継ぎ，後継ぎ,后代
跡取,继承人
後払い,后付款
穴孔,洞
強ち,未必
貴方,你
侮る,侮辱
兄,哥哥
姉,姐姐
あの,那个
暴く,揭发
痘痕,麻子
暴れる,胡闹
浴びせる,浇
浴びる,洗
危ない,危险的
油，脂,油
脂，膏,脂肪
焙る，炙る,取暖
溢れる,溢
あべこべ,相反
阿呆,蠢
甘い,甜
甘える,撒娇
雨具,雨具
余す,剩下
遍く,到处
余り,剩余
余りに,非常
余る,剩
網,网
編む,编织
雨,雨
飴,饴糖
綾，文,花纹
怪しい,奇怪的
怪しむ,怀疑
操る,耍
あやふや,含糊
過ち,失败
誤る,错
謝る,认错
歩み寄る,接近
歩む,步行
荒い,粗暴
粗い,粗
洗う,洗
嵐,暴风雨
荒らす,使乱七八糟
粗筋,梗概
争う,竞争
改まる,更新
改めて,稍后
改める,更新
あらゆる,所有
現す,使其出现
著す,撰写
表わす,表露
現れる,显露
表れる,露出
蟻,蚂蚁
ありありと,清清楚楚地
有り合わせ,现有
在り方,存在的状态
有り難い,宝贵的
ありがとう,谢谢
有様,状态
在る,存在
有る,具备
或る,某
或いは,或者
歩く,步行
主,主人
あれ,那个
荒れる,海浪汹涌
泡,泡沫
淡い,颜色浅
合わせる，併せる,合并
慌ただしい,不稳定的
慌てる,着慌
哀れ,可怜
案,计划
安易,容易
案外,意外的
暗記,背诵
暗号,暗号
暗殺,暗杀
暗算,心算
暗示,暗示
暗礁,暗礁
案じる,想办法
安心,安心
安静,静养
安全,安全
安定,安定
案内,引导
塩梅,咸淡
安否,是否平安
安眠,安眠
安楽,安乐
胃,胃
良い，好い,好
言い返す,顶嘴
言い換える,换个说法
いい加減,适度地
言い損なう,说错
言いつける,命令
言い直す,改口
許嫁,小时父母定的婚约
言い残す,留话
言い訳,辩解
医院,医院
委員,委员
言う,说
家,房子
家柄,门第
硫黄,硫磺
以下,以下
以外,之外
意外,意外的
如何,怎样
医学,医学
生かす,使活着
如何に,怎样
いかにも,真的
厳しい,庄严
錨,锚
怒る,生气
遺憾,遗憾
息,呼吸
粋,洋气
意気,意气
異議,异议
意義,意义
生き生き,生气勃勃
勢い,力
生き甲斐,生存的意义
生き返る,复活
息切れ,气喘
意気込み,干劲
経緯,内情
行き過ぎる,通过
行き違い,错过
行き詰まる,走到尽头
行き届く,周到
いきなり,突然
息抜き,稍作休息
生き残る,幸存
生き物,活物
生きる,谋生
行く,去
幾つ,几个
幾ら,多少
幾度,几回
池,池子
いけない,不好的
生ける,插花
意見,想法
威厳,威严
以後,以后
囲碁,围棋
憩い,休息
移行,转移
意向,意图
潔い,坦率
聊か，些か,仅仅
勇ましい,勇敢的
諫める,禁止
遺産,遗产
石,石子
意志,意志
意思,想法
意地,气质
遺児,遗腹子
維持,维持
意識,知觉
異質,性质不同
苛める,虐待
医者,医生
衣装,服装
異常,异常的
以上,上述
衣食,衣食
移植,移植
いじらしい,可爱
弄る,抚弄
意地悪,心眼坏的
椅子,椅子
泉,泉
威勢,威力
異性,异性
以前,以前
依然,依然
磯,海岸
忙しい,忙碌
急ぐ,着急
遺族,遗属
板,板
遺体,遗体
痛い,疼痛
偉大,伟大
痛々しい,悲惨
委託,委托
抱く,抱
悪戯,恶作剧
頂く，戴く,顶
痛手,重伤
痛む，傷む,身体疼痛
炒める,炒
痛める,弄疼
傷める,损坏
至る,到
労わる,照顾
異端,异端
市,市场
位置,位置
一一,逐一
一応,大体上
一概に,一概
一時,同时
著しい,显著的
一族,同族
一段,更加
一度,一次
一同,全部
一日,一天
一人前,一份儿
市場,市场
一番,第一
一部,一部分
一面,事物的一个方面
一目,一眼
一覧,一览
一流,一流
何時,何时
一家,一家
一気に,一口气
一見,稍微一看
一向,完全
一国,一刻
一切,一切
一種,一种
一瞬,一瞬间
一緒,一起做
一生,一生
一心,专心
逸する,失去
一線,界线
いっそ,索性
一層,更加
一体,一体
一旦,一旦
一致,一致
一定,一定
いつの間にか,不知不觉
一杯,一杯
一般,整个
一歩,一步
一方,一方面
いつも,经常地
偽る,欺骗
遺伝,遗传
糸,线
意図,意图
井戸,井
従兄弟,堂兄弟
営む,从事
暇,闲暇
挑む,挑战
以内,以内
田舎,乡下
稲妻,闪电
委任,委任
犬,狗
稲,水稻
