グラフィカル,Graphical
操作,Manipulation
枠組み,Framework
国際,International
会議,Conference
情報,Information
システム,Systems
工学,Engineering
エクステンション,Extension
メカニズム,Mechanism
拡張,Extensible
メソッド,Method
ポイント,Point
ダイジェスト,Digest
旋盤,Turning
分析,Analysis
複数の,Multiple
普及,Dissemination
統合,Integration
到着,Arrival
[プロパティ],Properties
源泉,Source
商品概要,Description
近づく,Approach
モデリング,Modeling
空間,Spatial
概念上の,Conceptual
コンストラクト,Construct
集中,intensive
リポジトリ,Repositories
データベース,Databases
ドキュメント,Document
クラスタリング,Clustering
忘却,Forgetting
要因,Factors
先進的な,Advanced
テクノロジー,Technology
デジタル,Digital
ライブラリ,Libraries
スキーム,Scheme
パーソナル,Personal
プログラム,Program
データベース,Database
エキスパート,Expert
システム,System
アプリケーション,Applications
拡張,extensible
地理,Geographic
仕様,Specification
世代,Generation
統合,Integrating
代数,Algebraic
サービス,Service
指向,oriented
アーキテクチャ,Architecture
組み込む,Incorporate
引き渡し,Delivery
環境,Environments
シンポジウム,Symposium
クエリ,Query
言語,Language
外国人,Foreign
関数,Functions
合併,Amalgamation
オーサリング,Authoring
リストラ,Restructuring
マルチメディア,Multimedia
管理,Management
動的,Dynamic
作成,Creation
異種,Heterogeneous
科学,Sciences
ブラウジング,Browsing
仮想,Virtual
プロフィール,Profiles
コンピュータ,Computer
科学,Science
セマンティック,Semantic
キャッシング,Caching
リニア,Linear
制約,Constraints
伝統的な,Traditional
テーラー,Tailor
構造化,Structured
ナビゲータ,Navigator
ラッパー,Wrapper
世界,World
組織,Organization
財団法人,Foundations
集積,Integrated
検索,Retrieval
メディア,Media
署名,Signature
トランザクション,Transactions
リレーショナル,Relational
文書,Documents
交換,Exchange
〜の間に,among
応用,Applied
コンピューティング,Computing
コンポジット,Composite
効率的な,Efficient
アクセス,Access
協同組合,Cooperative
評価,Evaluation
設計する,Design
を組み込む,Incorporating
垂直,Vertical
水平方向の,Horizontal
分解,Decomposition
スキーム,Schemes
開発,Development
動作,Performance
頭,Temporal
永続的な,Persistent
豪,Australasian
ネストされた,Nested
オブジェクト,Objects
インデックス,Indexing
テクノロジー,Technologies
管理者,Manager
関数,Function
連盟,Federation
ドキュメンテーション,Documentation
最適化,Optimization
一般,Generalized
アルゴリズム,Algorithm
Federarion,Federarion
Ducumentation,Ducumentation
クエリ,Queries
推定,Estimation
アルゴリズム,Algorithms
設備,Facilities
バター,Butter
割当,Allocation
実装,Implementing
ガイドライン,Guideline
モジュール,Modules
独立,Independent
最適化,Optimizing
を含む,Including
処理,Processing
手紙,Letters
Querics,Querics
分類,Classification
深く,Deeply
代数,Algebra
表現,Representation
化学物質,Chemical
ジェネリック,Generic
階層,Hierarchy
ハワイ,Hawaii
バージョン管理,Versioned
構成,Configuration
ソフトウェア,Software
機能,Functional
構造,Structure
Apprications,Apprications
抄録,Abstract
グラフィック,Graphic
プログラミング,Programming
環境,Environment
応募,Application
Genneration,Genneration
国立,National
標準化,Standardizing
要件,Requirement
ビジネス,Business
検討,Study
実験,Experimental
を提供する,Providing
ワークベンチ,Workbench
グラフィックス,Graphics
実装,Implementation
〜の方へ,Toward
2番目の,Second
要件,Requirements
現在の,Current
問題,Issues
変圧器,Transformer
側面,Aspects
情報,Informatics
医療,Medical
フォーム,Forms
拡張,Extended
柔軟性,Flexible
写真,Picture
ワークショップ,Workshop
気付いている,aware
イラク,Iraq
お問い合わせ,inquiry
お問い合わせ,inquiry
公聴会,hearings
人事,personnel
民事,civil
公務員,servants
元,former
長,chief
証拠,evidence
競合,conflict
起源,origins
調査,investigation
期間,period
選挙,election
証人,witnesses
セッション,session
声明,statement
会長,chairman
フィギュア,figures
インテリジェンス,Intelligence
委員会,Committee
監督,oversees
シニア,senior
省,Ministry
防衛,Defence
公式,official
サイモン,Simon
ウェブ,Webb
公務員,officials
物議を醸す,Controversial
書類,dossier
評論家,critics
〜かどうか,whether
政府,government
約束,promised
しっくい,whitewash
生産,produce
水曜日,Wednesday
パネル,panel
スタッフ,staff
クレーム,claims
政権,regime
保有,possessed
兵器,weapons
破壊,destruction
相続,succession
外交官,diplomats
軍事,military
政治家,politicians
役員,officers
描いた,drew
結果,resulted
検討,examined
状況,circumstances
顧問,adviser
〜だけれども,although
スリップ,slip
を発表,announce
目標物,target
削減,reducing
温室効果,greenhouse
排出量,emissions
〜の前に,before
次の,next
気候変動,climate
首脳会談,summit
よると、,according
予想,expected
含まれている,contained
立法,legislation
上院議員,Senate
削減,reduction
不在,absence
広く,widely
最大,biggest
障害,obstacle
契約,agreement
代表取締役社長,President
決定,decided
週末,weekend
発表,announced
約束,pledged
交渉,negotiating
うまくいけば、,Hopefully
交渉,negotiations
みんな,everyone
野心的な,ambitious
目標,targets
そうでなければ,otherwise
が表示されます,appears
プレゼンス,presence
チャンス,chances
政党,parties
示される,indicated
認識,recognition
勢い,momentum
番号,numbers
エグゼクティブ,executive
ディレクター,director
ネットワーク,Network
組織,organisations
ロビー,lobbying
問題,issue
圧力,pressure
議論,discussed
首相,Prime
国内,Domestic
運動,campaigned
約束,promise
リーダーシップ,leadership
グローバル,global
仮定,assuming
位置,position
制約,constrained
インドネシア,Indonesia
スペイン,Spain
フランス,France
ドイツ,Germany
英国,Britain
オーストラリア,Australia
ブラジル,Brazil
衆議院,Representatives
を確立する,establish
炭素,carbon
取引,trading
進捗状況,progress
類似,similar
早い,earliest
試み,attempt
上院議員,senators
〜するものは何でも,whatever
ケーベンハウン,Copenhagen
出現,emerge
12月,December
準備,prepared
国際,internationally
〜行きの,bound
コンベンション,convention
切削,Cutting
端,edge
従来の,conventionally
比較,comparison
パーセント,percent
公約,pledge
図,figure
厳しい,demanding
開発,developing
ドロップダウン,dropdown
緩和,Mitigation
雰囲気,atmosphere
吸収,absorb
追加,additions
お勧め,Suggest
用語集,Glossary
委員会,Commissioner
Stavrosの,Stavros
献身,commitment
Saleemul,Saleemul
専門家,specialist
研究所,Institute
政府,governments
価値がある,worthy
非常に,extremely
表示,showing
〜とともに,with
ターン,turns
質量,mass
軍,forces
支持者,following
請求する,claim
プローブ,probed
ロンドン,London
質問,question
議論,discuss
利用可能な,available
閣僚,ministers
前,prior
侵略,invasion
所見,findings
理由,reasons
信用,discredited
論争,controversy
部門の,department's
部門の,department's
セキュリティ,security
一般的な,general
カウンタ,counter
増殖,proliferation
トレラント,tolerant
重要な,critical
調査,investigated
距離,distanced
懸念,concerns
脅威,threat
仮定,assumed
〜にもかかわらず,despite
親戚,Relatives
会場,venue
セントラル州,central
前任者,predecessor
以前は,Previously
保証,ensured
差,difference
スイス,Swiss
ブリティッシュ,British
支配的な,dominant
ラップ,wrapped
決定的な,decisive
行き詰まり,faltered
ひどく,terribly
口述,dictate
おそらく,probably
断層,faults
機会,opportunities
集中,concentrate
資格,qualify
半,semi
決勝戦,finals
熱烈な,rapturous
すぐに,immediately
報酬,rewarded
素晴らしい,fabulous
叙事詩,epic
ベースライン,baseline
最終的には,eventually
フォアハンド,forehand
スコアボード,scoreboard
バックハンド,backhand
機能,serves
シール,sealing
群衆,crowd
満足,pleasing
スラム,slam
スマッシュ,smash
ダンクシュート,dunk
いくつかの,some
再び,again
4,fourth
思いやり,obligingly
最初の,first
それから,then
上品な,classy
カップル,couple
有効期限が切れた,lapses
濃度,concentration
通常,typically
正確な,accurate
ボレー,volley
ボレー,volley
ボレー,volley
内部,inside
素晴らしい,marvellous
素晴らしい,stunning
平準化,levelling
快適,comfortably
回復,recovered
デュース,deuce
対戦相手,opponent
決定,deciding
利点,advantage
3番目の,third
答えた。,replied
ミス,mistakes
頂点,culminating
Agonisingly,agonisingly
組み合わせ,combination
戦い,fought
Netted,netted
勝利,victory
期待,expectation
Clairefedererfan,clairefedererfan
改善,improvement
自信,confidence
保証,guaranteed
保証,guarantees
一時停止,suspend
意思決定,decision
小売店,retailers
一時的に,temporarily
取り下げ,withdrawn
企業,companies
苦情,complaints
顧客,customers
携帯電話,handset
小売店,retailer
最大限の,utmost
優先順位,priority
障害,fault
冷凍,frozen
着メロ,ringtones
バッテリー,battery
ジャーナリスト,journalist
ガジェット,gadget
オペレーティング,operating
インターフェイス,interface
相互作用,interacts
国勢調査,census
自殺,suicide
死,death
保険,insurance
政策,policies
まもなく,shortly
裸,naked
ダクト,duct
自分自身,himself
殺人,murder
当局,authorities
9月,September
農村,rural
ケンタッキー,Kentucky
