抛弃,abandon
放弃,abandonner
震聋的,abasourdi
退化的,abâtardi
屠宰场,abattoir
推倒,abattre
abattre推倒
修道院,abbaye
修道院院长,abbé
放弃等,abdiquer
蜜蜂,abeille
深渊,abîme
损坏,abîmer
牺牲,abnégation
废除,abolir
厌恶,abominer
充裕,abonder
abonner预约
上前与某人交谈,aborder,qqn
通向,aboutir,indir
摘要,abrégé
隐藏处,abri
掩护,abriter
陡峭的,abrupt
绝对地,absolument
吸收,absorber
宽恕,absoudre
抽象的,abstrait
滥用,abus
欺骗,abuser
沉重的,accablant
压坏,accabler
通向,accéder,à
加速,accélérer
重音,accent
可以接受的,acceptable
接受,accepter
通向,accès
可达到的,accessible
获得,accession
附件,accessoire
意外事故,accident
欢呼,acclamation
喝彩,acclamer,欢呼
拥抱,accoler
随和的,accommodant
陪同,accompagner
完成,accomplir
和睦,accord
给予,accorder
走近,accoster
用肘依靠,accouder
跑来,accourir
裂缝,accroc
钩住,accrocher
紧紧抓住,accrocher
增长,accroissement
增长,accroître
迎接,accueil
欢迎,accueillir
堆积,accumuler
控诉,accusation
被控告的,accusé
指责,accuser
指控某人犯某罪,accuser
锋利的,acéré
激烈的,acharné
猛追,acharner
购买,achat
赊购,achat,à,crédit
发送,acheminement
购买,acheter
购物者,acheteur
完美的,achevé
完成,achever
钢,acier
部分付款,acompte
获得者,acquéreur
获得,acquérir
获得的,acquis
获得,acquisition
偿清,acquitter
杂技演员,acrobate
杂技,acrobatie
行动,acte
演员,acteur
就业人口,actifs
活动,action
活跃起来,activer
活动,activité
时事,actualité
电视新闻,actualités
目前的,actuel
目前,actuellement
格言,adage
合适的,adapté
适合于,adapter
adapter适合
账单,addition
门徒,adepte
加入,adhérer
再见,adieu
助理,adjoint
接纳,admettre
行政,administration
赞美者,admirateur
赞赏的,admiratif
欣赏,admiration
赞赏,admirer
青春的,adolescent
接受,adopter
值得崇拜的,adorable
热爱,adorer
地址,adresse
灵巧的,adroil
成人,adulte
偶然发生,advenir
对手,adversaire
航空的,aérien
航空港,aérogare
航空的,aéronautique
机场,aéroport
航空航天的,aérospatial
变弱的,affaibli
使变弱,affaiblir
衰弱,affaiblissement
事务,affaire
商业活动,affaires,pl
饥饿的,affamé
爱,affectation
假装,affecter
动人的,affectif
爱,affection
感情现象的总和,affectivité
亲热地,affectueusement
巩固,affermir
广告．招贴,affiche
张贴,afficher
精炼,affiner
姻亲关系,affinité
证实,affirmer
令人痛苦的,affligeant
支流,affluent
发疯的,affolé
疯狂,affolement
获得自由的,affranchi
耻辱,affront
迎战,affronter
非洲的,africain
使人恼火的,agaçant
年龄,âge
年老的,âge
不动产商人,agent
加重,aggraver
灵活的,agile
做,agir
摇动,agitation
动荡的,agité,^e
羊羔,agneau
临终,agonie
增长,agrandir
枢意的,agréable
同意,agréer
好斗的,agressif
侵犯,agression
田野的,agreste
农业劳动者,agriculteur
攫取,agripper
农学家,agronome
切除,ahlation
惊悍的,ahuri
帮助,aide
副官,aide,de,camp
帮助,aider
祖父,aïeul
尖的,aiguë
针,aiguille
刺,aiguillon
磨快,aiguiser
大蒜,ail
翅膀,aile
别处,ailleurs
可爱的,aimable
爱,aimer,t
偏爱,aimer,mieux
长子,aïné
这样,ainsi
以及,ainsi,que
空气,air
法航,Air,France
青铜,airain
自在,aisanse
富裕的,aisé
腋窝,aisselle
加上,ajouter
相信……,ajouter,foi,à
令人惊慌的,alarmant
营报,alarme
专辑,album
在周围,alentour
报警,alerter
藻类,algue
精神错乱的人,aliéné
排成行,aligner
向……看齐,aligner
食物,aliment
食品,alimentation
