あいかわらず,相変わらず
あいさつ,挨拶
あいじょう,愛情
あいず,合図
アイスクリーム
あいする,愛する
あいそう,愛想
あいだがら,間柄
あいて,相手
あいま,合間
あう,合う,会う,遭う
あえて,敢えて
あおい,青い
あおぐ,仰ぐ
あおじろい,青白い
あかい,赤い
あかじ,赤字
あかす,明かす
あかちゃん,赤ちゃん
あからむ,赤らむ
あかり,明かり
あがり,上がり
あがる,上がる
あかるい,明るい
あき,明き,空き
あきらか,明らか
あきらめ,諦め
あきらめる,諦める
あきる,飽きる
あく,開く
あく,空く
あくしゅ,握手
あくま,悪魔
あくまで,飽くまで
あけがた,明方
あける,開ける,明ける
あげる,上げる
あご,顎
あこがれ,憧れ
あこがれる,憧れる
あさい,浅い
あさねぼう,朝寝坊
あざむく,欺く
あざやか,鮮やか
あしあと,足跡
あした,明日
あしもと,足元
あじわい,味わい
あじわう,味わう
あす,明日
あずかる,預かる
あずける,預ける
あせる,焦る
あそび,遊び
あたいする,値する
あたえる,与える
あたたかい,あたたかな,暖かな
あたたまる,暖まる
あたためる,暖める
あたらしい,新しい
あたり,辺り
あたり,当たり
あたりまえ,当たり前
あたる,当たる
あちら,あっち
あつい,厚い
あつい,暑い
あつい,熱い
あっか,悪化
あつかい,扱い
あつかう,扱う
あつかましい,厚かましい
あっしゅく,圧縮
あっぱく,圧迫
あつまり,集まり
あつまる,集まる
あつめる,集める
あつりょく,圧力
あて,当て
あてじ,当て字
あてな,宛名
あてる,当てる
あてる,宛てる
あとつぎ,後継ぎ
あとまわし,後回し
あばれる,暴れる
あびる,浴びる
あぶない,危ない
あぶら,油,脂
あぶらえ,油絵
あまい,甘い
あまえる,甘える
あまぐ,雨具
あまくち,甘口
アマチュア
あまど,雨戸
あまやかす,甘やかす
あまり,余り
あまる,余る
あみもの,編物
あむ,編む
あやうい,危うい
あやしい,怪しい
あやつる,操る
あやぶむ,危ぶむ
あやまち,過ち
あやまり,誤り
あやまる,誤る
あやまる,謝る
あゆみ,歩み
あゆむ,歩む
あらい,荒い,粗い
あらう,洗う
あらかじめ,予め
あらし,嵐
あらす,荒らす
あらそい,争い
あらそう,争う
あらた,新た
あらたまる,改まる
あらためて,改めて
あらためる,改める
あらっぽい,荒っぽい
あらわす,表す,現す,著す
あらわれ,現われ
あらわれる,現われる
ありがたい,有難い
ありあがとう,有難う
ありさま,有様
ある,有る,在る
ある,或る
あるく,歩く
あれる,荒れる
あわ,泡
あわす,合わす
あわせる,合わせる
あわてる,慌てる
あわれ,哀れ
あんい,安易
あんがい,案外
あんき,暗記
あんさつ,暗殺
あんざん,暗算
あんじ,暗示
あんじる,案じる
あんしん,安心
あんせい,安静
あんぜん,安全
あんてい,安定
あんない,案内
あんのじょう,案の定
いいかげん,いい加減
いいだす,言い出す
いいつける,言い付ける
いいわけ,言訳
いいん,委員
いいん,医院
いえで,家出
いか,以下
いがい,以外
いがい,意外
いがく,医学
いかす,生かす
いかり,怒り
いき,ゆき,行き
いぎ,意義
いぎ,異議
いきいき,生き生き
いきおい,勢い
いきがい,生甲斐
いきちがい,行き違い
いきごむ,意気込む
いきもの,生き物
いきる,生きる
いく,ゆく,行く
いくじ,育児
いくせい,育成
いくた,幾多
いくつ,幾つ
いくぶん,幾分
いくら,幾ら
いくら～ても
いけばな,生け花
いけん,意見
いけん,異見
いご,以後
いこう,以降
いこう,意向
いこう,移行
いさましい,勇ましい
いし,医師
いし,意思,意志
いじ,意地
いじ,維持
いしき,意識
いしゃ,医者
いじゅう,移住
いしょう,衣装
いじょう,以上
いじょう,異常
いしょくじゅう,衣食住
いじわる,意地悪
いす,椅子
いせい,異性
いせき,遺跡
いぜん,以前
いぜん,依然
